,cluster,state,fips
0,0,Alaska,02020
1,0,Alaska,02090
2,0,Alaska,02130
3,0,Alaska,02122
4,0,Alaska,02170
5,0,Alaska,02110
6,0,Alaska,02290
7,0,Alaska,02240
8,0,Alaska,02195
9,0,Alaska,02050
10,0,Alaska,02198
11,0,Alaska,02180
12,0,Alaska,02150
13,0,Alaska,02220
14,0,Alaska,02261
15,0,Alaska,02997
16,0,Alaska,02188
17,0,Alaska,02185
18,0,Alaska,02070
19,0,Alaska,02016
20,0,Alaska,02275
21,0,Alaska,02100
22,0,Alaska,02013
23,0,Alaska,02068
24,0,Alaska,02158
25,0,Alaska,02998
26,0,Alaska,02230
27,0,Arizona,04013
28,0,Arizona,04021
29,0,Arizona,04019
30,0,Arizona,04009
31,0,Arizona,04017
32,0,Arizona,04005
33,0,Arizona,04025
34,0,Arizona,04023
35,0,Arizona,04027
36,0,Arizona,04003
37,0,Arizona,04001
38,0,Arizona,04015
39,0,Arizona,04012
40,0,Arizona,04007
41,0,Arizona,04011
42,0,Colorado,08059
43,0,Colorado,08035
44,0,Colorado,08041
45,0,Colorado,08037
46,0,Colorado,08031
47,0,Colorado,08069
48,0,Colorado,08005
49,0,Colorado,08051
50,0,Colorado,08097
51,0,Colorado,08001
52,0,Colorado,08123
53,0,Colorado,08117
54,0,Colorado,08107
55,0,Colorado,08101
56,0,Colorado,08019
57,0,Colorado,08077
58,0,Colorado,08013
59,0,Colorado,08045
60,0,Colorado,08125
61,0,Colorado,08087
62,0,Colorado,08049
63,0,Colorado,08025
64,0,Colorado,08113
65,0,Colorado,08093
66,0,Colorado,08014
67,0,Colorado,08085
68,0,Colorado,08053
69,0,Colorado,08039
70,0,Colorado,08015
71,0,Colorado,08119
72,0,Colorado,08075
73,0,Colorado,08067
74,0,Colorado,08055
75,0,Colorado,08043
76,0,Colorado,08029
77,0,Colorado,08089
78,0,Colorado,08121
79,0,Colorado,08105
80,0,Colorado,08063
81,0,Colorado,08073
82,0,Colorado,08023
83,0,Colorado,08003
84,0,Colorado,08081
85,0,Colorado,08009
86,0,Colorado,08083
87,0,Colorado,08079
88,0,Colorado,08095
89,0,Colorado,08007
90,0,Colorado,08109
91,0,Colorado,08065
92,0,Colorado,08027
93,0,Colorado,08103
94,0,Colorado,08071
95,0,Colorado,08091
96,0,Colorado,08099
97,0,Colorado,08047
98,0,Colorado,08111
99,0,Colorado,08021
100,0,Colorado,08017
101,0,Colorado,08011
102,0,Colorado,08057
103,0,Colorado,08115
104,0,Colorado,08033
105,0,Colorado,08061
106,0,Connecticut,09001
107,0,Connecticut,09005
108,0,Connecticut,09009
109,0,Connecticut,09003
110,0,Connecticut,09007
111,0,Connecticut,09015
112,0,Connecticut,09013
113,0,Connecticut,09011
114,0,Delaware,10003
115,0,Delaware,10005
116,0,Delaware,10001
117,0,District of Columbia,11001
118,0,Idaho,16001
119,0,Idaho,16081
120,0,Idaho,16013
121,0,Idaho,16065
122,0,Idaho,16083
123,0,Idaho,16055
124,0,Idaho,16027
125,0,Idaho,16011
126,0,Idaho,16085
127,0,Idaho,16031
128,0,Idaho,16005
129,0,Idaho,16075
130,0,Idaho,16069
