,date,increase_cases,effective_concentration_rolling_average
0,2020-03-01,0.015,1.740218538
1,2020-03-02,0.016,1.740218538
2,2020-03-03,0.02,1.740218538
3,2020-03-04,0.036,1.740218538
4,2020-03-05,0.065,1.740218538
5,2020-03-06,0.081,1.740218538
6,2020-03-07,0.11,1.740218538
7,2020-03-08,0.117,12.59034427
8,2020-03-09,0.195,12.59034427
9,2020-03-10,0.251,12.59034427
10,2020-03-11,0.23,12.59034427
11,2020-03-12,0.36,12.59034427
12,2020-03-13,0.479,12.59034427
13,2020-03-14,0.558,12.59034427
14,2020-03-15,0.637,58.02332206
15,2020-03-16,0.769,58.02332206
16,2020-03-17,1.213,58.02332206
17,2020-03-18,1.725,58.02332206
18,2020-03-19,2.877,58.02332206
19,2020-03-20,3.61,58.02332206
20,2020-03-21,4.484,58.02332206
21,2020-03-22,5.53,862.012589822
22,2020-03-23,6.634,862.012589822
23,2020-03-24,7.614,862.012589822
24,2020-03-25,9.095,862.012589822
25,2020-03-26,12.887,862.012589822
26,2020-03-27,14.292,862.012589822
27,2020-03-28,14.826,862.012589822
28,2020-03-29,14.522,474.25470499833335
29,2020-03-30,16.358,474.25470499833335
30,2020-03-31,19.489,474.25470499833335
31,2020-04-01,20.994,474.25470499833335
32,2020-04-02,24.605,474.25470499833335
33,2020-04-03,27.269,474.25470499833335
34,2020-04-04,29.094,474.25470499833335
35,2020-04-05,21.148,528.6287874010833
36,2020-04-06,25.964,528.6287874010833
37,2020-04-07,26.797,528.6287874010833
38,2020-04-08,26.551,528.6287874010833
39,2020-04-09,29.153,528.6287874010833
40,2020-04-10,27.803,528.6287874010833
41,2020-04-11,24.933,528.6287874010833
42,2020-04-12,21.789,469.0499865210527
43,2020-04-13,21.893,469.0499865210527
44,2020-04-14,23.064,469.0499865210527
45,2020-04-15,22.802,469.0499865210527
46,2020-04-16,26.628,469.0499865210527
47,2020-04-17,27.179,469.0499865210527
48,2020-04-18,24.22,469.0499865210527
49,2020-04-19,22.305,724.5373037968095
50,2020-04-20,24.511,724.5373037968095
51,2020-04-21,22.737,724.5373037968095
52,2020-04-22,24.616,724.5373037968095
53,2020-04-23,29.742,724.5373037968095
54,2020-04-24,32.835,724.5373037968095
55,2020-04-25,29.359,724.5373037968095
56,2020-04-26,23.245,268.89124762999995
57,2020-04-27,20.423,268.89124762999995
58,2020-04-28,23.464,268.89124762999995
59,2020-04-29,24.423,268.89124762999995
60,2020-04-30,27.28,268.89124762999995
61,2020-05-01,31.448,268.89124762999995
62,2020-05-02,26.551,268.89124762999995
63,2020-05-03,23.472,206.26431044575756
64,2020-05-04,20.741,206.26431044575756
65,2020-05-05,24.275,206.26431044575756
66,2020-05-06,23.291,206.26431044575756
67,2020-05-07,25.778,206.26431044575756
68,2020-05-08,25.931,206.26431044575756
69,2020-05-09,23.255,206.26431044575756
70,2020-05-10,18.553,137.64272430935134
71,2020-05-11,18.58,137.64272430935134
72,2020-05-12,21.282,137.64272430935134
73,2020-05-13,19.601,137.64272430935134
74,2020-05-14,25.66,137.64272430935134
75,2020-05-15,23.828,137.64272430935134
76,2020-05-16,22.185,137.64272430935134
77,2020-05-17,17.249,68.83224352159525
78,2020-05-18,21.266,68.83224352159525
79,2020-05-19,20.334,68.83224352159525
80,2020-05-20,22.546,68.83224352159525
81,2020-05-21,24.293,68.83224352159525
82,2020-05-22,22.841,68.83224352159525
83,2020-05-23,20.797,68.83224352159525
84,2020-05-24,19.655,72.9653497653889
85,2020-05-25,19.02,72.9653497653889
86,2020-05-26,18.691,72.9653497653889
87,2020-05-27,18.232,72.9653497653889
88,2020-05-28,21.34,72.9653497653889
89,2020-05-29,23.782,72.9653497653889
90,2020-05-30,22.244,72.9653497653889
91,2020-05-31,19.914,51.598014542173914
92,2020-06-01,21.638,51.598014542173914
93,2020-06-02,19.735,51.598014542173914
94,2020-06-03,19.669,51.598014542173914
95,2020-06-04,21.104,51.598014542173914
96,2020-06-05,28.15,51.598014542173914
97,2020-06-06,21.8,51.598014542173914
98,2020-06-07,17.968,88.84480733948
99,2020-06-08,17.893,88.84480733948
100,2020-06-09,18.392,88.84480733948
101,2020-06-10,20.4,88.84480733948
102,2020-06-11,22.697,88.84480733948
103,2020-06-12,24.91,88.84480733948
104,2020-06-13,24.486,88.84480733948
105,2020-06-14,18.253,127.09741201217392
106,2020-06-15,20.105,127.09741201217392
107,2020-06-16,24.349,127.09741201217392
108,2020-06-17,25.409,127.09741201217392
109,2020-06-18,26.391,127.09741201217392
110,2020-06-19,31.475,127.09741201217392
111,2020-06-20,30.345,127.09741201217392
112,2020-06-21,25.929,76.78756644287999
113,2020-06-22,30.959,76.78756644287999
114,2020-06-23,34.662,76.78756644287999
115,2020-06-24,36.691,76.78756644287999
116,2020-06-25,40.537,76.78756644287999
117,2020-06-26,45.078,76.78756644287999
118,2020-06-27,41.68,76.78756644287999
119,2020-06-28,38.26,98.386953886
120,2020-06-29,38.394,98.386953886
121,2020-06-30,49.022,98.386953886
122,2020-07-01,49.71,98.386953886
123,2020-07-02,53.281,98.386953886
124,2020-07-03,58.648,98.386953886
125,2020-07-04,50.054,98.386953886
126,2020-07-05,44.401,88.81178986058335
127,2020-07-06,46.924,88.81178986058335
128,2020-07-07,53.586,88.81178986058335
129,2020-07-08,58.815,88.81178986058335
130,2020-07-09,59.628,88.81178986058335
131,2020-07-10,67.37,88.81178986058335
132,2020-07-11,60.172,88.81178986058335
133,2020-07-12,57.299,146.3126736785
134,2020-07-13,60.735,146.3126736785
135,2020-07-14,65.362,146.3126736785
136,2020-07-15,68.393,146.3126736785
137,2020-07-16,75.413,146.3126736785
138,2020-07-17,70.111,146.3126736785
